row,assumption,what_it_is,how_set_in_model,why_this_choice,source
7,Revenue Growth,Year-over-year % increase in revenue for each forecast year.,Yellow POLICY input: 27% / 16% / 13% / 10% / 7%.,Y1 ≈ company FY2026 revenue guidance (~$2.53B / FY25 $1.991B − 1 ≈ 27%). Then fade toward terminal g=3% (not straight-lined). This is the main forward-looking judgment; it drives Rev → GP → EBT → Net Earnings → CF.,FICO FY2026 guidance + fade policy
8,COGS % of Revenue,Cost of revenues as a % of sales (gross margin = 1 − this).,Excel equation: I25/I24 (FY25 COGS ÷ FY25 Revenue) held flat.,Locks in latest reported cost structure (~17.8%). Scores mix is high-margin; holding FY25 is conservative vs further mix shift.,SEC 10-K FY2025 — Cost of revenues / Total revenues
9,SGA % of Revenue,Operating opex (Salaries & Benefits / SG&A) as % of sales.,"Equation: (I28 − 10,922)/I24 − 50bps × year. Strips FY25 restructuring; then −0.5% of sales each year.",Normalize one-time restructuring ($10.9M). Mild efficiency grind reflects operating leverage as revenue scales; floored at 5%.,SEC 10-K FY2025 — SG&A + restructuring note
10,R&D % of Revenue,Research & development (template label may say Rent and Overhead) as % of sales.,Excel equation: I29/I24 held flat (~9.46%).,FICO reinvests steadily in analytics/software. Flat % grows dollars with revenue.,SEC 10-K FY2025 — Research and development
11,D&A % of PP&E Open,Depreciation & amortization as % of opening net PP&E.,Excel equation: I30/I44 (FY25 DA ÷ FY25 PPE). Forecast DA = OpenPPE × this %.,Ties DA to the asset base the schedule rolls forward (opens at I44).,SEC 10-K FY2025 — D&A and PP&E
12,Interest % of Debt Open,Interest expense as % of opening debt balance.,Excel equation: I101/I98 (FY25 interest ÷ FY25 opening debt in schedule).,"Approximates average coupon / cost of debt on the book. Debt held flat (issuance = 0), so interest stays linked to that stock.","SEC 10-K FY2025 — Interest expense, net + debt footnote"
13,Tax Rate (% of EBT),Effective book tax rate applied to forecast EBT.,Excel equation: I35/I33 (FY25 tax ÷ simplified FY25 EBT in this template).,Uses reported effective rate (~19% on template EBT; ~18.8% on 10-K EBT). UFCF in DCF also uses unlevered EBIT × t.,SEC 10-K FY2025 — Provision for income taxes / Income before taxes
15,Accounts Receivable (Days),AR days sales outstanding used to project AR = Rev × days/365.,"Excel equation: ROUND(I42/I24×365, 0). I42 is net AR (AR − deferred).",Operating working-capital view: contract liabilities (deferred revenue) reduce net AR so ΔNWC is not overstated.,SEC 10-K — AR; DeferredRevenueCurrent (XBRL)
16,Inventory (Days),Inventory days (Inv = COGS × days/365).,Hard zero — FICO is software / scores; inventory is immaterial.,No inventory cycle to fund.,SEC 10-K — Inventory ≈ $0
17,Accounts Payable (Days),AP days used to project AP = COGS × days/365.,"Excel equation: ROUND(I48/I25×365, 0) from FY25.",Payable timing offsets AR in operating NWC.,SEC 10-K FY2025 — Accounts payable
18,CapEx % of Revenue,Capital investment (PPE + capitalized software) as % of sales.,Equation: fade from I68/I24 (FY25 CapEx/Sales ~1.98%) toward 1.0% steady. Weights 85%→65%→45%→30%→0% on the peak.,FY25 CapEx was elevated by capitalized internal-use software. Fading avoids locking a peak reinvestment rate forever.,SEC 10-K — PP&E purchases + capitalized software
19,Debt Issuance (Repayment),New borrowing (+) or repayment (−) in the forecast.,POLICY input = 0 every year.,Hold debt stock flat at FY25 level for the explicit period; interest follows. Net debt for DCF equity bridge uses the later 10-Q amount separately.,Modeling choice (financing not in FCFF)
20,Equity Issued (Repaid),New equity issued (+) or buybacks (−) in the forecast BS/CF.,POLICY input = 0 every year.,Buybacks are real historically but are financing — excluded from FCFF. Share count for $/share is the spot shares outstanding assumption.,Modeling choice (financing not in FCFF)
