model,model_label,cfi_row,fico_10k_label,naming_note,statement_section,unit,FY2023,FY2024,FY2025,primary_10k_url_FY2025,also_FY2024_url,also_FY2023_url,xbrl_concept,companyfacts_api
3-Statement / DCF,Revenues,3S!row24 / DCF driver base,Revenues,Same meaning. 10-K Consolidated Statements of Income: 'Revenues'.,Consolidated Statements of Income and Comprehensive Income,USD thousands,1513557.0,1717526.0,1990869.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,RevenueFromContractWithCustomerExcludingAssessedTax,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,COGS / Cost of Goods Sold,3S!row25,Cost of revenues,CFI says COGS; FICO 10-K labels it 'Cost of revenues' (same economic line).,Consolidated Statements of Income and Comprehensive Income,USD thousands,311053.0,348206.0,353722.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,CostOfRevenue,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF OpEx,SG&A (CFI: Salaries and Benefits),3S!row28,"Selling, general and administrative",NAMING DIFFERS. CFI template line is 'Salaries and Benefits'. FICO 10-K has no 'Salaries' line — map FICO SG&A here. OpEx in FICO ≈ SG&A + R&D (below).,Consolidated Statements of Income and Comprehensive Income,USD thousands,400565.0,462834.0,513028.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,SellingGeneralAndAdministrativeExpense,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF OpEx,R&D (CFI: Rent and Overhead),3S!row29,Research and development,NAMING DIFFERS. CFI 'Rent and Overhead' is a placeholder opex bucket. FICO maps R&D expense into that row. Combined SG&A+R&D = operating expenses excl. COGS/D&A.,Consolidated Statements of Income and Comprehensive Income,USD thousands,159950.0,171940.0,188347.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,ResearchAndDevelopmentExpense,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
DCF,Operating Expenses (SG&A + R&D),used inside DCF EBIT build,"Selling, general and administrative + Research and development",FICO does not print a single 'Operating expenses' total for SG&A+R&D. Sum the two 10-K lines. Do NOT confuse with 'Cost of revenues'.,Consolidated Statements of Income and Comprehensive Income,USD thousands,560515.0,634774.0,701375.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,SG&A + R&D (derived),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
DCF,EBIT / Operating income,DCF!E21 (and forecast),Operating income,CFI/DCF 'EBIT' ≈ FICO 'Operating income' on the income statement.,Consolidated Statements of Income and Comprehensive Income,USD thousands,642830.0,733629.0,924850.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,OperatingIncomeLoss,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement,Interest Expense,3S!row31,"Interest expense, net","10-K presents 'Interest expense, net' (interest expense netted with interest income). Use that printed line, not gross InterestExpense alone when they diverge.",Consolidated Statements of Income and Comprehensive Income,USD thousands,95546,105638,133647,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,"Interest expense, net (10-K IS line)",https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF,Tax Expense / Cash Taxes rate,3S!row35; DCF!D5 tax rate,Provision for income taxes,Tax expense from income statement. DCF cash-tax rate uses FY25 tax / pretax approx.,Consolidated Statements of Income and Comprehensive Income,USD thousands,124249.0,129214.0,150649.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,IncomeTaxExpenseBenefit,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF,Net Income,3S!row36/62,Net income,Same naming.,Consolidated Statements of Income / Cash Flows,USD thousands,429375.0,512811.0,651946.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,NetIncomeLoss,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3-Statement / DCF,D&A,3S!row30/63; DCF!E23,Depreciation and amortization,From Consolidated Statements of Cash Flows (add-back).,Consolidated Statements of Cash Flows,USD thousands,14638.0,13827.0,14952.0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://www.sec.gov/Archives/edgar/data/814547/000162828024045719/fico-20240930.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454723000022/fico-20230930.htm,DepreciationDepletionAndAmortization,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
