sheet,row,name,formula_pattern,explanation_20_words,source_url
3 Statement Model,2,Forecast year label,={p}2+1,Adds one year to the prior column’s fiscal-year label so forecast headers stay sequential.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,3,Balance sheet check,"=IFERROR(IF(ABS({c}57)>1,""ERROR"",""OK""),""OK"")",Flags ERROR if Assets ≠ L+E by more than $1k; otherwise OK. Protects the plug.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,8,COGS %,=$I$25/$I$24,"FY25 COGS divided by FY25 revenue, held flat so gross margin matches latest reported mix.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,9,SG&A %,"=MAX(15%,(($I$28-10922)/$I$24)-75bps×t)","Normalized FY25 SG&A% after stripping restructuring, minus 75bps×year, floored at 15%.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,10,R&D %,=$I$29/$I$24,"FY25 R&D over FY25 revenue, held flat so product investment scales with sales.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,11,D&A % of Revenue,=8.411% flat (3yr avg),Total D&A/Sales 3yr average; dollars = Rev × DA% (software/intangibles driver).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,12,Interest % of debt,"=IF($I$98=0,0.05,$I$101/$I$98)",FY25 interest over opening debt approximates the book coupon; 5% fallback if no debt.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,13,Book tax % of EBT,"=IF($I$33=0,0.21,$I$35/$I$33)",FY25 book tax/EBT for Net Income; DCF uses a separate cash tax rate.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,15,DSO (AR days),"=IF($I$24=0,0,ROUND($I$42/$I$24*365,0))",FY25 AR/Revenue × 365 held flat; AR = Rev × DSO/365 (no NWC% plug).,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3 Statement Model,17,DPO (AP days),"=IF($I$25=0,0,ROUND($I$48/$I$25*365,0))",FY25 AP/COGS × 365 held flat; AP = COGS × DPO/365 for organic NWC.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,18,CapEx % flat,=1.249% flat (3yr avg),Flat 3yr avg (PPE + capitalized software)/Sales; no fade-to-1% policy.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,21,SBC % of Revenue,=8.251% flat (3yr avg),ShareBasedCompensation/Sales 3yr average; add-back in CFO row 64 and FCFF.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,24,Revenue,={p}24*(1+{c}7),Prior-year revenue grown by this year’s policy growth rate; top-line driver of the model.,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm
3 Statement Model,25,COGS $,={c}24*{c}8,Revenue times COGS%; converts the held margin assumption into dollar cost of sales.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,26,Gross profit,={c}24-{c}25,Revenue minus COGS; contribution after direct cost of revenues before operating expenses.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,28,SG&A $,={c}24*{c}9,Revenue times SG&A%; operating opex after the −75bps efficiency grind on the rate.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,29,R&D $,={c}24*{c}10,Revenue times R&D%; research spend scales with sales at the FY25 reinvestment rate.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,30,D&A $,={c}24*{c}11,Revenue times DA%; total D&A including software amortization as % of sales.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,31,Interest $,={c}98*{c}12,Opening debt times interest%; coupon on the debt stock while issuance policy is zero.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,32,Total expenses,=SUM({c}28:{c}31),"Sum of SGA, R&D, D&A, and interest; all operating and financing costs above EBT.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,33,EBT,={c}26-{c}32,Gross profit minus total expenses; earnings before tax in this simplified template.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,35,Taxes $,={c}33*{c}13,EBT times effective tax rate; book tax expense for the income statement.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,36,Net earnings,={c}33*(1-{c}13),"EBT kept after tax; full equation, not a pointer, so NI tracks the tax rate driver.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,41,Cash (BS),={c}78,Balance-sheet cash equals cash-flow closing cash so the three statements stay linked.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,42,AR $,={c}24*{c}15/365,Revenue × DSO / 365; receivables from the days-sales-outstanding assumption (no AR plug).,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
3 Statement Model,43,Inventory $,={c}25*{c}16/365,COGS × inventory days / 365; stays zero because inventory days are policy zero.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,44,PP&E (BS),={c}95,Net PP&E equals the PPE schedule closing balance after CapEx and depreciation.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,45,Total assets,=SUM({c}41:{c}44),Cash + AR + inventory + PP&E; simplified asset base used for the balance-sheet check.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,48,AP $,={c}25*{c}17/365,COGS × DPO / 365; payables from the days-payable-outstanding assumption.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,49,Debt (BS),={c}100,"Debt equals the debt-schedule closing balance (open + issuance, issuance usually 0).",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,50,Total liabilities,={c}48+{c}49+{c}88,AP + Debt + Deferred Revenue (row 88); Deferred is a real BS contract liability.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,52,Equity capital,={c}45-{c}50-{c}53,BS identity plug: Assets − Liabilities − RE. Forces the balance sheet to balance.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,53,Retained earnings,={p}53+{c}33*(1-{c}13),Prior RE plus this year’s net earnings; accumulates NI into equity without dividends.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,54,Shareholders’ equity,=SUM({c}52:{c}53),Equity capital plus retained earnings; book equity for the L+E side of the check.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,55,Total L+E,={c}50+{c}54,Liabilities plus equity; must equal total assets when the model is in balance.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,57,BS imbalance,={c}55-{c}45,L+E minus assets; should be ~0. Nonzero means a link or plug is broken.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,62,CF net earnings,={c}33*(1-{c}13),"Same NI equation as the IS, written out so CFO does not hide behind a bare pointer.",https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,63,CF + D&A,={c}30,Adds back non-cash D&A (Rev × DA%) in the cash-from-operations bridge.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,64,CF + SBC,={c}24*{c}21,Adds back stock-based compensation (Rev × SBC%) — non-cash opex already in NI.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,65,CF − Δ Op NWC,={c}90,Δ Operating NWC = OpNWCt − OpNWCt−1 from AR+Inv−AP only (Deferred excluded).,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
3 Statement Model,66,Cash from operations,=NI+DA+SBC−ΔOpNWC+ΔDeferred,Full CFO: NI + D&A + SBC − Δ Op NWC + Increase in Deferred Revenue.,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
