tab,cell,name,value,what,how,why,source
Coversheet,B2,Model identity,vengeanceaiUSC-LBOMODEL1 — ZoomInfo (GTM),Name of this LBO case.,Set on Coversheet and LBO!B2.,Separates ZoomInfo LBOMODEL1 from the blank WSP BMC sample.,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusclbomodel1-44dc/vengeanceaiUSC_LBOMODEL1.xlsx
Coversheet,—,Units,$ millions except per share / rates / multiples,Unit convention for the workbook.,Stated on LBO!B3 / DCF!B3.,Matches WSP template convention and SEC $ presentation scaled to millions.,https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm
LBO,D6/D7,Company / ticker,ZoomInfo Technologies Inc. / GTM,Target company identity.,Hardcoded inputs on LBO general inputs.,Public GTM (legacy ZI) is the LBOMODEL1 case company.,https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm
LBO,D8,Current share price,$4.31,Spot equity price used for premium math.,LBO!D8 market input.,Latest available GTM print used when MODEL1 was built (~2026-08-12).,https://finance.yahoo.com/quote/GTM
LBO,D9,Price date,2026-08-12,As-of date for the spot price.,LBO!D9.,Timestamps the market input for auditability.,https://finance.yahoo.com/quote/GTM
LBO,H21,Acquisition premium,25%,Premium of offer price over spot.,Offer/sh = D8×(1+premium).,Standard illustrative take-private premium; editable deal assumption.,Model assumption (LBOMODEL1)
LBO,H20,Offer price / share,$5.3875,Implied takeout price per share.,D8 × 1.25.,Drives equity purchase price in Uses.,Model assumption + market price
LBO,H18,Diluted shares (millions),292.312,Share count for equity value.,From latest shares outstanding.,10-Q 2026-06-30 common shares outstanding used as diluted proxy (options ladder not fully modeled).,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001794515&type=10-Q
LBO,D20,Equity purchase price,"$1,574.8m",Cash to buy equity.,Offer/sh × shares.,Primary Use of funds line.,Derived
LBO,D13,LTM EBITDA,$314.5m,Entry EBITDA for leverage / multiple math.,FY2025 OpInc $225.7m + D&A $88.8m.,GAAP EBITDA proxy from latest annual 10-K (not adjusted EBITDA).,https://www.sec.gov/Archives/edgar/data/1794515/000179451526000012/zi-20251231.htm ; https://data.sec.gov/api/xbrl/companyfacts/CIK0001794515.json
LBO,D14,Gross debt,"−$1,269.9m",Debt refinanced at close (entered as negative in template).,LT debt + current maturities.,10-Q 2026-06-30: LongTermDebt + LongTermDebtCurrent.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001794515&type=10-Q
LBO,D15,Cash,$150.1m,Cash available at entry.,Cash & equivalents + short-term investments.,10-Q 2026-06-30.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001794515&type=10-Q
