sheet,row,name,formula_pattern,explanation_20_words
3 Statement Model,2,Forecast year label,={p}2+1,Adds one year to the prior column’s fiscal-year label so forecast headers stay sequential.
3 Statement Model,3,Balance sheet check,"=IFERROR(IF(ABS({c}57)>1,""ERROR"",""OK""),""OK"")",Flags ERROR if Assets ≠ L+E by more than $1k; otherwise OK. Protects the plug.
3 Statement Model,8,COGS %,=$I$25/$I$24,"FY25 COGS divided by FY25 revenue, held flat so gross margin matches latest reported mix."
3 Statement Model,9,SGA %,"=MAX(0.05,(($I$28-10922)/$I$24)-bps×t)","Normalized FY25 SGA% after stripping restructuring, minus 50bps×year, floored at 5%."
3 Statement Model,10,R&D %,=$I$29/$I$24,"FY25 R&D over FY25 revenue, held flat so product investment scales with sales."
3 Statement Model,11,D&A % of PPE,"=IF($I$44=0,0.25,$I$30/$I$44)",FY25 D&A over FY25 net PP&E; fallback 25% if PP&E is zero to avoid #DIV/0.
3 Statement Model,12,Interest % of debt,"=IF($I$98=0,0.05,$I$101/$I$98)",FY25 interest over opening debt approximates the book coupon; 5% fallback if no debt.
3 Statement Model,13,Tax % of EBT,"=IF($I$33=0,0.21,$I$35/$I$33)",FY25 tax over FY25 EBT is the effective book rate; 21% statutory fallback if EBT zero.
3 Statement Model,15,AR days,"=ROUND($I$42/$I$24*365,0)","Net AR (AR−deferred) over revenue × 365, rounded; sets days sales outstanding."
3 Statement Model,17,AP days,"=IF($I$25=0,0,ROUND($I$48/$I$25*365,0))",Accounts payable over COGS × 365 from FY25; payable timing for operating NWC.
3 Statement Model,18,CapEx % fade,=($I$68/$I$24)*w+1%*(1−w),Blends FY25 CapEx/Sales toward 1% steady so peak capitalized software does not persist.
3 Statement Model,24,Revenue,={p}24*(1+{c}7),Prior-year revenue grown by this year’s policy growth rate; top-line driver of the model.
3 Statement Model,25,COGS $,={c}24*{c}8,Revenue times COGS%; converts the held margin assumption into dollar cost of sales.
3 Statement Model,26,Gross profit,={c}24-{c}25,Revenue minus COGS; contribution after direct cost of revenues before operating expenses.
3 Statement Model,28,SGA $,={c}24*{c}9,Revenue times SGA%; salaries/benefits dollars after the efficiency grind on the rate.
3 Statement Model,29,R&D $,={c}24*{c}10,Revenue times R&D%; research spend scales with sales at the FY25 reinvestment rate.
3 Statement Model,30,D&A $,={c}92*{c}11,"Opening PP&E times D&A%; depreciation follows the asset roll-forward, not a revenue %."
3 Statement Model,31,Interest $,={c}98*{c}12,Opening debt times interest%; coupon on the debt stock while issuance policy is zero.
3 Statement Model,32,Total expenses,=SUM({c}28:{c}31),"Sum of SGA, R&D, D&A, and interest; all operating and financing costs above EBT."
3 Statement Model,33,EBT,={c}26-{c}32,Gross profit minus total expenses; earnings before tax in this simplified template.
3 Statement Model,35,Taxes $,={c}33*{c}13,EBT times effective tax rate; book tax expense for the income statement.
3 Statement Model,36,Net earnings,={c}33*(1-{c}13),"EBT kept after tax; full equation, not a pointer, so NI tracks the tax rate driver."
3 Statement Model,41,Cash (BS),={c}78,Balance-sheet cash equals cash-flow closing cash so the three statements stay linked.
3 Statement Model,42,AR $,={c}24*{c}15/365,Revenue × AR days / 365; receivables from the days-sales-outstanding assumption.
3 Statement Model,43,Inventory $,={c}25*{c}16/365,COGS × inventory days / 365; stays zero because inventory days are policy zero.
3 Statement Model,44,PP&E (BS),={c}95,Net PP&E equals the PPE schedule closing balance after CapEx and depreciation.
3 Statement Model,45,Total assets,=SUM({c}41:{c}44),Cash + AR + inventory + PP&E; simplified asset base used for the balance-sheet check.
