row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url
7,Revenue Growth,Year-over-year % increase in revenue for each forecast year.,Yellow POLICY input: 27% / 16% / 13% / 10% / 7%.,Y1 ≈ company FY2026 revenue guidance (~$2.53B / FY25 $1.991B − 1 ≈ 27%). Then fade toward terminal g=3% (not straight-lined). This is the main forward-looking judgment; it drives Rev → GP → EBT → Net Earnings → CF.,SEC EX-99.1 Q3 FY2026 — updated FY2026 revenue guidance $2.53B,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm
8,COGS % of Revenue,Cost of revenues as a % of sales (gross margin = 1 − this).,Excel equation: I25/I24 (FY25 COGS ÷ FY25 Revenue) held flat.,Locks in latest reported cost structure (~17.8%). Scores mix is high-margin; holding FY25 is conservative vs further mix shift.,SEC 10-K FY2025 — Cost of revenues / Total revenues,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
9,SG&A % of Revenue,Operating opex (SG&A) as % of sales.,"Equation: MAX(15%, (I28 − 10,922)/I24 − 75bps × year). Strips FY25 restructuring; then −0.75% of sales each year.",MODEL7 audit: allow software operating leverage. Floor 15%; grind −75 bps so SG&A can scale toward mid-teens as revenue expands (not stuck ~24–25%).,SEC 10-K FY2025 — SG&A + restructuring note,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
10,R&D % of Revenue,Research & development (template label may say Rent and Overhead) as % of sales.,Excel equation: I29/I24 held flat (~9.46%).,FICO reinvests steadily in analytics/software. Flat % grows dollars with revenue.,SEC 10-K FY2025 — Research and development,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
11,D&A % of Avg PP&E,Depreciation rate from FY25; dollars applied to average PP&E so new CapEx is depreciated.,Rate = I30/I44 (FY25 DA ÷ FY25 PPE). Forecast DA$ = ((Open + Open+CapEx)/2) × rate.,"MODEL6 fix: prior model depreciated only opening PP&E, so ~$96M of forecast CapEx never hit D&A/FCFF add-back. Average PP&E (Open ↔ pre-DA close) depreciates additions in the year they are placed in service.",SEC 10-K FY2025 — D&A and PP&E,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
12,Interest % of Debt Open,Interest expense as % of opening debt balance.,Excel equation: I101/I98 (FY25 interest ÷ FY25 opening debt in schedule).,"Approximates average coupon / cost of debt on the book. Debt held flat (issuance = 0), so interest stays linked to that stock.",SEC 10-K FY2025 — Interest expense; see also 8-K 6.250% notes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
13,Tax Rate (% of EBT),Effective book tax rate applied to forecast EBT.,Excel equation: I35/I33 (FY25 tax ÷ simplified FY25 EBT in this template).,Uses reported effective rate (~19% on template EBT; ~18.8% on 10-K EBT). UFCF in DCF also uses unlevered EBIT × t.,SEC 10-K FY2025 — Provision for income taxes / Income before taxes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
15,Operating NWC % of Revenue,Single consolidated operating working-capital ratio (AR+Inv−AP−Deferred)/Sales.,Equation: fade FY25 op. NWC/Sales → 3% steady (weights 70/50/30/15/0).,MODEL7 audit: ends the gross-AR-days + deferred double-count that drained ~$297M of FCFF. Asset-light software WC fades toward ~3% of sales; BS AR is plugged so AR−AP−Deferred = NWC.,SEC companyfacts XBRL — AR / AP / DeferredRevenueCurrent,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json
16,Inventory (Days),Inventory days (Inv = COGS × days/365).,Hard zero — FICO is software / scores; inventory is immaterial.,No inventory cycle to fund.,SEC 10-K FY2025 — Inventory ≈ $0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
17,Accounts Payable (Days),AP days used to project AP = COGS × days/365.,"Excel equation: ROUND(I48/I25×365, 0) from FY25.",Payable timing offsets AR in operating NWC.,SEC 10-K FY2025 — Accounts payable,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
18,CapEx % of Revenue,Capital investment (PPE + capitalized software) as % of sales.,Equation: fade from I68/I24 toward 1.0% steady. MODEL7 weights 40%→20%→10%→0%→0% on the peak (faster fade).,MODEL7 audit: prior path left CapEx ≫ D&A (~$80M cumulative drag). Faster fade to maintenance ~1% so CapEx converges near D&A by Y4–Y5.,SEC 10-K FY2025 — PP&E purchases + capitalized software,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm
19,Debt Issuance (Repayment),New borrowing (+) or repayment (−) in the forecast.,POLICY input = 0 every year.,Hold debt stock flat at FY25 level for the explicit period; interest follows. Net debt for DCF equity bridge uses the later 10-Q amount separately.,SEC 10-Q Q3 FY2026 — debt stock (financing excluded from FCFF),https://www.sec.gov/Archives/edgar/data/814547/000081454726000030/fico-20260630.htm
20,Equity Issued (Repaid),New equity issued (+) or buybacks (−) in the forecast BS/CF.,POLICY input = 0 every year.,Buybacks are real historically but are financing — excluded from FCFF. Share count for $/share is the spot shares outstanding assumption.,Damodaran FCFF framework — financing (buybacks) not in FCFF,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histfcff.html
