,,FICO — vengeanceaiUSCMODEL11 (3-Statement + DCF),,"=HYPERLINK(""https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel11-d3ac/FICO/output/MODEL11_FICO_ASSUMPTIONS_LIST.pdf"",""⬇ ASSUMPTIONS PDF"")",,,,,,,,,Strictly Confidential
,,"=HYPERLINK(""https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel11-d3ac/FICO/output/MODEL11_FICO_ASSUMPTIONS_LIST.pdf"",""⬇ CLICK HERE — DOWNLOAD ASSUMPTIONS LIST PDF (NO CHARTS)"")",,,,,,,,,,,
,,Table of Contents,,,,,,,,,,,
,,3 Statement Model,,,,,,,,,,,
,,Notes,,,,,,,,,,,
,,"Named Ranges mark INPUT cells only. Formula cells (Gross Profit, NI, UFCF, EV) have NO names and must never be overwritten. Open in Excel to recalculate.",,,,,,,,,,,
,,vengeanceaiUSCMODEL11: segment WC (SaaS/B2C/B2B/PS); blended DSO≈32d; Deferred in NWC; SBC 8.3% + share dilution; DA=0.84%; CapEx=1.25% flat; cash tax=22.9%; exit 17.5x; WACC=9.24%. ASSUMPTIONS PDF DOWNLOAD is the orange banner on Cover row 13 (C13). Also listed in Source Index (cols E–G).,,,,,,,,,,,
,,"=HYPERLINK(""https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel11-d3ac/FICO/output/MODEL11_FICO_ASSUMPTIONS_LIST.pdf"",""⬇ DOWNLOAD ASSUMPTIONS LIST PDF — CLICK THIS LINK"")",,,,,,,,,,,
,,"=HYPERLINK(""https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel11-d3ac/FICO/output/MODEL11_FICO_ASSUMPTIONS_LIST.pdf"",""https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel11-d3ac/FICO/output/MODEL11_FICO_ASSUMPTIONS_LIST.pdf"")",,,,,,,,,,,
,,© 2019 CFI Education Inc.,,vengeanceaiUSCMODEL11 — SOURCE INDEX (click any link),,,,,,,,,
,,"All rights reserved.  The contents of this publication, including but not limited to all written material, content layout, images, formulas, and code, are protected under international copyright and trademark laws.  ",,Every assumption / WACC / filing source used in this workbook. Same links appear on 3-statement col U/V and DCF col U/V.,,,,,,,,,
,,"No part of this publication may be modified, manipulated, reproduced, distributed, or transmitted in any form by any means, including photocopying, recording, or other electronic or mechanical methods, ",,Source,Clickable link,URL,,,,,,,
,,"without prior written permission of the publisher, except in the case of certain noncommercial uses permitted by copyright law.",,10-K FY2025,10-K FY2025,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,,,,,,,
,,,,10-Q Q3 FY2026,10-Q Q3 FY2026,https://www.sec.gov/Archives/edgar/data/814547/000081454726000030/fico-20260630.htm,,,,,,,
,,,,8-K 6.250% notes,8-K 6.250% notes,https://www.sec.gov/Archives/edgar/data/814547/000119312526117936/d56220d8k.htm,,,,,,,
,,,,Damodaran ERP,Damodaran ERP,https://pages.stern.nyu.edu/adamodar/New_Home_Page/home.htm,,,,,,,
,,,,Damodaran EV/EBITDA by sector,Damodaran EV/EBITDA by sector,https://pages.stern.nyu.edu/adamodar/New_Home_Page/datafile/vebitda.htm,,,,,,,
,,,,Damodaran FCFF,Damodaran FCFF,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histfcff.html,,,,,,,
,,,,Damodaran implied ERP table,Damodaran implied ERP table,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histimpl.html,,,,,,,
,,,,FICO EV/EBITDA (Alpha Spread),FICO EV/EBITDA (Alpha Spread),https://www.alphaspread.com/security/nyse/fico/relative-valuation/ratio/enterprise-value-to-ebitda,,,,,,,
,,,,FICO IR,FICO IR,https://www.fico.com/en/investors,,,,,,,
,,,,FICO IR — FY2025 10-K PDF,FICO IR — FY2025 10-K PDF,https://investors.fico.com/static-files/663245db-39a2-4db7-8f89-284034bbccbf,,,,,,,
,,,,FICO IR — SEC filings hub,FICO IR — SEC filings hub,https://investors.fico.com/financial-information/sec-filings,,,,,,,
,,,,FICO peer EV/EBITDA comps (VCP Scanner),FICO peer EV/EBITDA comps (VCP Scanner),https://vcpscanner.com/valuation/fico/relative,,,,,,,
,,,,FRED DGS10,FRED DGS10,https://fred.stlouisfed.org/series/DGS10,,,,,,,
,,,,FY2026 guidance EX-99.1,FY2026 guidance EX-99.1,https://www.sec.gov/Archives/edgar/data/814547/000081454726000031/exhibit991erq32026.htm,,,,,,,
,,,,MODEL11 Assumptions List (PDF download),MODEL11 Assumptions List (PDF download),https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel11-d3ac/FICO/output/MODEL11_FICO_ASSUMPTIONS_LIST.pdf,,,,,,,
,,,,MODEL11 Assumptions List (PDF view),MODEL11 Assumptions List (PDF view),https://github.com/vengeanceaiUSC/Rainmaker/blob/cursor/vengeanceaiusmodel11-d3ac/FICO/output/MODEL11_FICO_ASSUMPTIONS_LIST.pdf,,,,,,,
,,,,SEC 10-K FY2025 (HTML),SEC 10-K FY2025 (HTML),https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,,,,,,,
,,,,SEC 10-K FY2025 filing index,SEC 10-K FY2025 filing index,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/0000814547-25-000030-index.htm,,,,,,,
,,,,SEC companyfacts XBRL (SBC / cash tax / CapEx / buybacks),SEC companyfacts XBRL (SBC / cash tax / CapEx / buybacks),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,,,,,,,
,,,,US Treasury yield curve,US Treasury yield curve,https://home.treasury.gov/resource-center/data-chart-center/interest-rates/TextView?type=daily_treasury_yield_curve,,,,,,,
,,,,Yahoo FICO,Yahoo FICO,https://finance.yahoo.com/quote/FICO/key-statistics/,,,,,,,
,,,,Yahoo FICO quote,Yahoo FICO quote,https://finance.yahoo.com/quote/FICO/,,,,,,,
,,,,companyfacts,companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,,,,,,,
