row,assumption,what_it_is,how_set_in_model,why_this_choice,source,source_url,assumptions_pdf_url
7,Revenue Growth,Year-over-year % increase in revenue for each forecast year.,Yellow POLICY: 30.0% / 18.0% / 14.5% / 11.0% / 8.5%.,Branch Process: MODEL13 revenue path = 27%/16%/13%/10%/7%. MODEL14 = 30%/18%/14.5%/11%/8.5% — lifts near-term growth for the 2026 mortgage royalty reprice (4.95→10.00) and ongoing B2B Scores unit-price power. Terminal g raised 3.0%→3.5% (pricing > inflation). Mortgage wholesale royalty $4.95→$10.00 is near-100% incremental margin and lifts the near-term path vs MODEL13's 27/16/13/10/7.,Equifax / Hawley — FICO 2026 mortgage royalty 2x; EX-99.1 Q3 FY2026 guidance,https://www.equifax.com/newsroom/all-news/-/story/equifax-statement-on-fico-2x-price-increase-for-2026-and-mortgage-direct-license-program/,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
8,COGS % of Revenue,Cost of revenues as a % of sales (gross margin = 1 − this).,"Excel: MAX(10%, segment blended COGS base≈14.58% − 120bps × year).",MODEL14 Yacktman: Branch Process MODEL13→MODEL14: COGS grind −120 bps/yr (was −75); SG&A −175 bps/yr (was −125); R&D −50 bps/yr (MODEL13 held R&D% flat). B2B / mortgage royalty price hikes have ~100% incremental GM and need ~0 incremental SG&A/R&D — ~95%+ of incremental Scores revenue flows to CFO. 2026 mortgage wholesale royalty 4.95→10.00 (Equifax/Hawley; industry uplift cited up to ~$500M). Mix % offset within Total Revenue (not a second revenue stack).,SEC 10-K FY2025 — Scores +$249M YoY 'primarily attributable to a higher unit price',https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
9,SG&A % of Revenue,Operating opex (SG&A) as % of sales.,"Equation: MAX(14%, (I28 − 10,922)/I24 − 175bps × year). Strips FY25 restructuring; then −1.75% of sales each year.",Branch Process: MODEL13 used −125 bps / 15% floor; MODEL14 uses −175 bps / 14% floor — B2B Scores price hikes need ~0 incremental SG&A so ~95%+ drops to CFO.,SEC 10-K FY2025 — SG&A; Equifax/Hawley mortgage royalty 2x,https://www.equifax.com/newsroom/all-news/-/story/equifax-statement-on-fico-2x-price-increase-for-2026-and-mortgage-direct-license-program/,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
10,R&D % of Revenue,"Research & development expense as % of sales (IS label: R&D, not Rent).","Excel: MAX(7%, I29/I24 − 50bps × year).",Branch Process: MODEL13 held R&D% flat; MODEL14 fades R&D% because B2B / mortgage royalty price hikes require ~0 incremental R&D — otherwise NI/CFO are artificially depressed.,SEC 10-K FY2025 — Research and development; Scores royalty economics,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
11,D&A % of Revenue,Total depreciation & amortization as % of sales (software-industry driver).,Yellow POLICY input: flat 0.84% (3yr FY23–25 avg TOTAL D&A). Forecast DA$ = Revenue × DA%; CF row 63 adds it back once.,MODEL14: CFO/FCFF add back TOTAL D&A at ≈ 0.84% of Revenue (3yr avg). Intangibles amortization is inside that total — added back once.,SEC companyfacts — DepreciationDepletionAndAmortization (+ AmortizationOfIntangibleAssets),https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
12,Interest % of Debt Open,Interest expense as % of opening debt balance.,Excel equation: I101/I98 (FY25 interest ÷ FY25 opening debt in schedule).,Approximates average coupon / cost of debt on the book. Debt stock follows the net debt issuance assumption (row 19).,SEC 10-K FY2025 — Interest expense; see also 8-K 6.250% notes,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
13,Book Tax Rate (% of EBT),Effective book tax rate applied to forecast EBT → Net Income.,Excel equation: I35/I33 (FY25 tax ÷ simplified FY25 EBT in this template).,Book rate (~19%) remains on the income statement. DCF unlevered cash taxes use a separate cash tax rate (22.87% = 3yr IncomeTaxesPaidNet/EBT). DCF unlevered cash taxes use 3yr IncomeTaxesPaidNet/EBT ≈ 22.87%; 3S NI still uses book tax.,SEC 10-K FY2025 — tax expense; cash taxes from IncomeTaxesPaidNet,https://data.sec.gov/api/xbrl/companyfacts/CIK0000814547.json,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
15,DSO — Accounts Receivable (Days),Days Sales Outstanding. AR = Revenue × DSO / 365.,Yellow POLICY path: phases 97d (FY25 hist) → 35d over 5 years (Y1≈84.6d … Y5=35d). Segment blend ref ≈ 27.5d on schedule row 115 (SaaS 40/B2C 2/B2B 25/PS 12/On-prem 40).,"Branch Process vs MODEL13 (6.5/10): MODEL13 targeted 45d; MODEL14 targets 35d so cash is not trapped vs SaaS upfront / Scores settlement reality. Branch Process MODEL13→MODEL14: Operating NWC = AR+Inv−AP (excludes Deferred) unchanged in structure, but DSO fade accelerates — MODEL13 targeted 45d; MODEL14 targets 35d (hist 97d → 35d over 5yrs) so cash is not artificially trapped. Increase in Deferred Revenue remains an explicit CFO/FCFF source (row 81). AR and unearned revenue are never double-counted. Deferred Revenue stays in Total Liabilities and is an explicit +ΔDeferred in CFO/FCFF (not inside Op NWC). Forecast Deferred = Rev × (SaaS%+OnPrem%) × (FY25 Def/FY25 soft Rev). FY25 current deferred ≈ $187.4M. Q1 FY2026 roll-forward: https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm.",SEC 10-K FY2025 — AR; Q1 FY2026 deferred detail,https://www.sec.gov/Archives/edgar/data/814547/000081454726000011/R45.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
16,Inventory (Days),Inventory days (Inv = COGS × days/365).,Hard zero — FICO is software / scores; inventory is immaterial.,No inventory cycle to fund.,SEC 10-K FY2025 — Inventory ≈ $0,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
17,DPO — Accounts Payable (Days),Days Payable Outstanding. AP = COGS × DPO / 365.,"Excel equation: ROUND(I48/I25×365, 0) from FY25; held flat.",MODEL14: DPO pairs with phased DSO for Op NWC = AR+Inv−AP. Deferred is a SEPARATE CFO cash source (row 81) — never mixed into AR/DPO.,SEC 10-K FY2025 — Accounts payable,https://www.sec.gov/Archives/edgar/data/814547/000081454725000030/fico-20250930.htm,https://raw.githubusercontent.com/vengeanceaiUSC/Rainmaker/cursor/vengeanceaiusmodel14-d3ac/FICO/output/MODEL14_FICO_ASSUMPTIONS_LIST.pdf
